question,Subject,answer1,answer2,answer3,answer4,Correct_answer
Кто основал 1250 лет назад во франкском государстве династию Каролингов?,История,Пипин Короткий,Карл Великий,Хлодвиг I,Карл Мартелл,Пипин Короткий
Кого иногда называют спрутом?,Природа и животный мир,осьминога,кашалота,медузу,каракатицу,осьминога
Какой язык является государственным языком Эфиопии?,География,Амхарский,Тигре,Арабский,Суахили,Амхарский
В честь кого получил своё имя популярный салат «Цезарь»?,Разное,повара — создателя салата,птицы цесарки,Чезаре Борджиа,Юлия Цезаря,повара — создателя салата
"Отдел пищеварительной системы, на стенкаx которого располагаются ворсинки? ",Разное,Тонкая кишка,Пищевод,Прямая кишка,Желудок,Тонкая кишка
Температура абсолютного нуля по Фаренгейту - это:,Наука,-457.87 градусов,-273.15 граду,-17.8 градусов,0 градусов,-457.87 градусов
Под каким именем известен любителям советской поэзии Евгений Скурко?,Литература,Максим Танк,Фёдор Пушка,Семён Пулемёт,Егор Бронепоезд,Максим Танк
Как называется третья нота в гамме в соль мажор?,Искусство,Си,Фа,Ре,Ля,Си
Какая порода собак является миниатюрной копией грейхаунда?,Природа и животный мир,Левретка,Такса,Болонка,Чау-чау,Левретка
"Что означает слово ""Баунти""? ",Разное,Щедрость,Сладость,Кокос,Жадность,Щедрость
В каком веке Ватикан перестал издавать Индекс запрещённых книг?,История,20,17,18,19,20
В какой день ноября проводятся каждые четыре года выборы президента США?,История,В 1-й Вт после 1-го Пн,В любой по решению Сената,В 1-е воскресенье,За 20 дн. до дня Благодарения,В 1-й Вт после 1-го Пн
Что в свободное время мастерил химик Д.И.Менделеев?,Наука,Чемоданы,Коврики,Табуретки,Игрушки,Чемоданы
Какой российский политик родился в селе Бутка Свердловской области?,История,Борис Ельцин,Михаил Горбачёв,Сергей Шойгу,Владимир Путин,Борис Ельцин
"Кому приходилось заниматься разделыванием под орех, что и породило известный неологизм? ",Разное,столяру,повару,конюху,кузнецу,столяру
Какой народный промысел прославил тобольских мастеров?,История,резьба по кости,чугунное литьё,малахитовые шкатулки,пуховые платки,резьба по кости
"Кто, по русским летописям, заселил европейскую часть нынешней России после потопа? ",История,Иафет,Хам,Ной,Сим,Иафет
Какой жанр голандской живописи 17 века предназначался для напоминания о быстротечности жизни и неизбежности смерти?,Искусство,Ванитас,Готика,Бодегон,Бомбочады,Ванитас
Как по-научному называется выгорание взрывчатого вещества?,Наука,Дефлаграция,Диффамация,Эксплорация,Дефламмизация,Дефлаграция
"Что хакеры называют ""пагой""? ",Разное,Web-страничку,Погоду,Игру,Пейджер,Web-страничку
Какой римский император был отцом императора Тита?,История,Веспасиан,Адриан,Домициан,Клавдий,Веспасиан
Как раньше называлась игра в шахматы?,История,Чатуранга,Чачуранга,Матуранга,Пануранга,Чатуранга
В какой пустыне в 1923 году были впервые обнаружены остатки гнезд динозавров с лежащими там окаменевшими яйцами?,История,Гоби,Ливийская,Калахари,Атакама,Гоби
"Что такое ферменты, биологические катализаторы? ",Наука,Белки,Кислоты,Жиры,Паразиты,Белки
На какой реке стоит город Прага?,География,Влтава,Тиса,Лаба,Одра,Влтава
Как в 1987 году назывался город Набережные Челны?,География,Брежнев,Суслов,Андропов,Подгорный,Брежнев
"Известно, что некоторые буквы кириллицы имели и цифровое значение. Чему равнялась буква ""Ферт""? ",Разное,500,300,400,600,500
Какой калибр у автоматической винтовки М16 производства США?,Разное,5.56 мм,7.56 мм,9-й калибр,113 дюйма,5.56 мм
Какой бег упомянут в названии короткометражки Леонида Гайдая?,Спорт,кросс,трусца,стипль-чез,марафон,кросс
"Что, по мнению Веры из к/ф ""Служебный роман"", делает женщину женщиной? ",фильмы,Обувь,Прическа,Обувь,Макияж,Обувь
Как называется соревнование разных по классу участников с предоставлением форы слабейшим?,Спорт,Гандикап,Пелетон,Форманта,Ганглиоз,Гандикап
Какой напиток входит в коктейль «Свободная Куба»?,Разное,ром,виски,бренди,водка,ром
Что из этого является витамином?,Разное,Ретинол,Гамма-глоубин,Ализарин,Фенолфталеин,Ретинол
Кто из этих витязей не был рыцарем круглого стола?,История,Тристан,Парсифаль,Галахад,Ланселот,Тристан
В каком из этих фильмов не снимался Павел Луспекаев?,Фильмы,"""Дело пестрых""","""Республика ШКИД"""," ""Белое солнце пустыни"""," ""Тайна двух океанов""","""Дело пестрых"""
Национальным танцем какой страны является полька?,География,Чехия,Австрия,Венгрия,Польша,Чехия
Какой из этих спутников - спутник Сатурна?,Наука,Янус,Элара,Карме,Титания,Янус
Какая из этих звезд не входит в большой летний треугольник?,Наука,Сириус,Вега,Альтаир,Денеб,Сириус
Какая река имеет притоки Уругвай и Парагвай?,География,Парана,Колорадо,Миссисипи,Евфрат,Парана
Каких мужчин боятся больные погонофобией?,Разное,Бородатых,Лысых,Рыжих,Усатых,Бородатых
В какую страну вторглись советские войска 30 ноября 1939 года?,история,Финляндия,Польша,Иран,Румыния,Финляндия
Военно-политический союз России с какой страной стал предпосылкой образования Антанты?,история,Франция,Германия,Англия,Испания,Франция
Какая сельскохозяйственная культура сама удобряет почву?,Природа и животный мир,Горох,Свекла,Кукуруза,Рожь,Горох
Какой народ на Руси называли лопарями?,История,Саамов,Карелов,Ненцев,Коми,Саамов
"Как называется ненависть, нетерпимость к кому-либо или чему-либо чужому, незнакомому, непривычному? ",Разное,Ксенофобия,Иорофобия,Клаустрофобия,Агорафобия,Ксенофобия
Какое из этих австралийских животных не имеет сумки?,Природа и животный мир,Утконос,Ехидна,Коала,Вомбат,Утконос
Как называется двугорбый верблюд?,Природа и животный мир,Бактриан,Дромедар,Нар,Дромадер,Бактриан
Какая религия запрещает изображение человека в натуральную величину?,История,Ислам,Буддизм,Иудаизм,Христианство,Ислам
За достижения в какой области получил Нобелевскую премию главный редактор Большой советской энциклопедии Александр Прохоров?,Наука,физика,химия,физиология и медицина,литература,физика
Какого цвета ягоды ядовитого плюща?,Природа и животный мир,Белые,Синие,Красные,Черные,Белые
Что человек может сделать для гибискуса?,Природа и животный мир,полить,вычистить клетку,расчесать шерсть,поменять воду в аквариуме,полить
Какую музыкальную группу основал известный рок-певец Крис Норман?,Искусство,"""Smokie""","""Siade"""," ""Status Quo"""," ""Sweet""","""Smokie"""
Чем в Древней Греции руководил корифей?,История,хором,школой,посольством,строительством,хором
Какое вещество никогда не переходит в твёрдое состояние при нормальном давлении?,Наука,Гелий,Водород,Кислород,Азот,Гелий
Для какой нации романшский язык является национальным?,География,Швейцария,Австрия,Албания,Болгария,Швейцария
Что из этого остров (остальные - города)?,География,Санта-Исабель,Санта-Ана,Санта-Моника,Санта-Марта,Санта-Исабель
За какое время периода Земля оборачивается вокруг Солнца?,Природа и животный мир,За год,За месяц,За неделю,За сутки,За год
Какое из этих вин красное?,Разное,Мукузани,Ркацители,Цинандали,Гевюрцтраминер,Мукузани
Как называется самый многочисленный отряд млекопитающих?,Природа и животный мир,грызуны,хищные,кошачьи,приматы,грызуны
Кто в 1949 году стал первым канцлером ФРГ?,История,Аденауэр,Шмидт,Брандт,Эрхард,Аденауэр
Какой город оказался в блокаде во время Великой Отечественной войны?,История,Ленинград,Горький,Куйбышев,Киев,Ленинград
Где прожил последние годы до возвращения в США Эрнест Хемингуэй?,Литература,Куба,Испания,Ямайка,Гаити,Куба
Что является частью музыкального инструмента тромбона?,Искусство,кулиса,рампа,занавес,сцена,кулиса
Какая школа в 18 веке размещалась в Москве в Сухаревой башне?,История,навигацкая,пожарная,балетная,музыкальная,навигацкая
"Слово кибернетика - производное от греческого слова, означающего: ",Наука,Искусство управления,Быстрый счет,Божественное знание,Направленное действие,Искусство управления
Что обозначала буква О в аббревиатуре ОГПУ?,История,Объединенное,Общесоюзное,Оборонное,Отдельное,Объединенное
У автомобилей какой из этих стран международный регистрационный знак ES?,Разное,Сальвадор,Египет,Эстония,Испания,Сальвадор
"Как называли низкосортную, дешёвую колбасу? ",Разное,"""собачья радость""","""крокодиловы слёзы"""," ""телячьи нежности"""," ""лебединая песня""","""собачья радость"""
"Какое из этих мясных блюд, можно отнести к колбасным изделиям? ",Разное,Зельц,Бастурма,Карбонад,Буженина,Зельц
Музыка к какому балету написана не Родионом Щедриным?,Искусство,«Спартак»,«Чайка»,«Анна Каренина»,«Конёк-Горбунок»,«Спартак»
"Где два Стивена, Джобс и Возняк, собрали свой первый полноценный персональный компьютер? ",Наука,в гараже,на чердаке,на кухне,в сауне,в гараже
Кто стрелял в Мадонну во время выступления на стадионе Джонна Кеннеди?,Искусство,Шон Пенн,Уорен Битти,Хаттаб Эмир,Джон Хинки,Шон Пенн
Какой танец на придворных балах начала XIX века исполняли первым?,Искусство,Полонез,Менуэт,Вальс,Мазурка,Полонез
Какой город является административным центром (столицей) штата Техас?,География,Остин,Даллас,Хьюстон,Сан-Антонио,Остин
Как называется один из важнейших фондовых индексов в Японии?,География,Nikkei,Yisei,Nippon,Nisei,Nikkei
Какой город с 1845 по 1936 годы называли Тифлисом?,История,Тбилиси,Туапсе,Кутаиси,Сухуми,Тбилиси
"Как называется документ, определяющий правила награждения орденом и его ношения? ",Разное,Статут,Статус,Хартия,Устав,Статут
"Как назывался ящик, в который при царе Алексее Михайловиче складывали жалобы на дьяков и подьячих? ",История,долгий,короткий,чёрный,ящик Пандоры,долгий
"Кто автор подписи на Могиле Неизвестного Солдата «Имя твоё неизвестно, подвиг твой бессмертен»? ",История,Сергей Михалков,Максим Горький,Иосиф Сталин,Георгий Жуков,Сергей Михалков
Как настоящая фамилия Игоря Северянина?,Литература,Лотарев,Лопарев,Лекарев,Лазарев,Лотарев
"Как звали последнего царя Македонии, правившего до 168 г. до н. э.? ",История,Персей,Тесей,Протей,Антей,Персей
Как называется фильм Серджо Леоне?,Фильмы,«Однажды в Америке»,"""Порой в Европе""",«Раз в Африке»,«Когда-то в Антарктиде»,«Однажды в Америке»
"Кого В.Серов изобразил на картине ""Девочка с персиками""? ",Искусство,Дочь мецената Саввы Мамонтова,Племяннику Михаила Врубеля,Подружку сына Виктора Васнецова,Свою двоюродную сестру,Дочь мецената Саввы Мамонтова
В каком отделе позвоночника человека позвонки являются неподвижными?,Разное,В крестцовом,В шейном,В грудном,В поясничном,В крестцовом
Какую из этих пьес написал М. Булгаков?,Литература,"""Зойкина квартира""","""Машенька"""," ""Таня"""," ""Любовь Яровая""","""Зойкина квартира"""
"Судебный психиатр и криминалист, родоначальник антропологического направления в криминологии ",Разное,Ч. Ломброзо,Р. Ринальдини,Т. ди Лампедуза,Ф. Бартоломмео,Ч. Ломброзо
Какой из этих драгоценных камней является разновидностью минералов циркона?,Природа и животный мир,Гиацинт,Гелиодор,Альмандин,Хризопраз,Гиацинт
Кто из этих военачальников не был министром обороны СССР?,История,И. С. Конев,Г. К. Жуков,Р. Я. Малиновский,А. А. Гречко,И. С. Конев
Кто убил Петра Столыпина?,История,Богров,Засулич,Перовская,Азеф,Богров
"С кого собирал налоги Земский приказ, созданный в 1564 году и просуществовавший до 1699 года? ",История,с жителей Москвы,с крестьян российских деревень,с торговцев зерном,с крупных землевладельцев,с жителей Москвы
Чем или кем при российском дворе заведовал шталмейстер?,История,Царскими конюшнями,Царскими покоями,Царской псарней,Дворцовыми слугами,Царскими конюшнями
На гербе какого государства изображены черные пантеры?,География,Габон,Нигер,Малави,Кот-д'Ивуар,Габон
Какой нагревательный прибор не имеет фитиля?,Разное,примус,керосинка,керогаз,спиртовка,примус
Какое правило помогает определить направление магнитного поля электрического тока?,Наука,Правило буравчика,Правило винтика,Правило шпунтика,Правило шурупчика,Правило буравчика
"Что чинил кот-бегемот из романа ""Мастер и Маргарита""? ",Литература,примус,плитку,автомобиль,велосипед,примус
"Визитной карточкой какой рок-группы стали длиннющие, обычно рыжие, бороды солистов? ",Искусство,"""Зи Зи Топ""","""Пинк Флойд"""," ""Лед Зеппелин"""," ""Дип Пёрпл""","""Зи Зи Топ"""
Какое из этих деревьев - не из семейства березовых?,Наука,Берест,Ольха,Карельская береза,Граб,Берест
За чем не едет герой известной песенки Юрия Кукина?,Искусство,за деньгами,за мечтами,за туманом,за запахом тайги,за деньгами
"На фасаде какой гостиницы Москвы можно увидеть панно Врубеля ""Принцесса Грёза""? ",Искусство,"""Метрополь""","""Националь"""," ""Будапешт"""," ""Савой""","""Метрополь"""
"Что означает прозвище Калигула, под которым известен один из римских императоров? ",История,Сапожок,Ящерка,Маленький меч,Короткий плащ,Сапожок
"Какое животное изображено на картине Леонардо да Винчи ""Дама с горностаем""? ",Искусство,Хорек (альбинос),Горностай,Ласка,Норка,Хорек (альбинос)
"За что ответственна область мозга называемая ""область Вернике""? ",Разное,Понимание речи,Кратковременная память,Пространственное ощущение,Сон,Понимание речи
Какое море в XII - XIII века называлось Варяжским?,История,Балтийское,Чёрное,Азовское,Белое,Балтийское
Административным центром каких островов является город Гонолулу?,География,Гавайских,Панамских,Канарских,Вердинских,Гавайских
Какая российская теннисистка в 2004 году выиграла Уимблдонский турнир?,Спорт,М. Шарапова,Е. Дементьева,А. Мыскина,В. Звонарёва,М. Шарапова
"Какое министерство возглавлял Д. А. Гурьев, который придумал гурьевскую кашу? ",История,Финансов,Полиции,Юстиции,Морское,Финансов
Кто из этих биологов был пионером социобиологии?,Наука,Эдвард Осборн Уилсон,Джейн Гудолл,Стивен Гулд,Эрнст Майр,Эдвард Осборн Уилсон
Какой великий русский композитор одновременно был известным химиком?,Наука,Бородин,Римский-Корсаков,Даргомыжский,Глинка,Бородин
Что изучает семиотика?,Наука,Знаки и символы,Человекообразных обезьян,Происхождение слов,Флаги,Знаки и символы
В каком из этих алфавитов меньше всего букв?,Разное,Греческий,Латинский,Грузинский,Армянский,Греческий
Какой из учебных предметов не входит в КВАДРИВИУМ - следовавший за тривиумом повышенный цикл обучения в средние века?,История,Диалектика,Арифметика,Геометрия,Музыка,Диалектика
У кого внешний покров состоит из хитина?,Природа и животный мир,Членистоногие,Рыбы,Птицы,Млекопитающие,Членистоногие
"В каком монастыре восемь лет держали осаду монахи, не принявшие церковные реформы Никона? ",История,Соловецкий,Киевско-Печорский,Оптина Пустынь,Ипатьевский,Соловецкий
Кто из этих богов и богинь не был сыном или дочерью Зевса?,История,Деметра,Аполлон,Афина,Гермес,Деметра
Чему дал название хвост петуха?,Разное,смеси напитков (коктейль),стрижке панка,букету гладиолусов,детали токарного станка,смеси напитков (коктейль)
Решите древнеримский пример MD-CLXXX =?,История,MCCCXX,MCCLXX,MDLXXX,MCLXXX,MCCCXX
В какой стране зародился стиль рококо?,Искусство,Франция,Италия,Австрия,Испания,Франция
Что означает слово ТСУГА?,Природа и животный мир,Хвойное дерево,Лиственное дерево,Народ в Лесото,Народ в Ботсване,Хвойное дерево
Какая порода собак не существует?,Природа и животный мир,Монтефорт-терьер,Керн-терьер,Чешский терьер,Силихем-терьер,Монтефорт-терьер
Какие московские пруды назывались когда-то Погаными?,История,Чистые,Патриаршьи,Борисовские,Царицынские,Чистые
Каким стихотворным размером Гомер написал «Илиаду» и «Одиссею»?,Литература,гекзаметром,александрийским стихом,пятистопным ямбом,анапестом,гекзаметром
Какой стихотворный размер использовал А. С. Пушкин в стихотворении про Вещего Олега?,Литература,Амфибрахий,Дактиль,Анапест,Ямб,Амфибрахий
Как в России в старину называли изумруд?,История,Смарагд,Карбункул,Диамант,Яхонт,Смарагд
Кто из этих российских деятелей не имел титул светлейшего князя?,История,Ромодановский,Меншиков,Кутузов,Горчаков,Ромодановский
Какое из этих английских графств самое большое по территории?,География,Хэмпшир,Эссекс,Корнуолл,Стаффордшир,Хэмпшир
Сколько мачт у брига?,Разное,2,1,3,4,2
Что из перечисленного изготовляется не из абрикосов?,Разное,Сабза,Урюк,Кайса,Курага,Сабза
Какова длина носа Статуи Свободы?,География,"1,37 м",0,76 м,0,"1,37 м"
Кому из этих героев удалось бежать после падения Трои?,История,Эней,Парис,Троил,Гектор,Эней
"Из какого языка пришло слово ""алгебра""? ",Наука,Арабского,Греческого,Санскрита,Иврита,Арабского
Как называется боковая часть пистолета?,Разное,Щека,Лоб,Спина,Затылок,Щека
С каким философом Екатерина II вела дружескую переписку?,История,Вольтер,Декарт,Руссо,Паскаль,Вольтер
"Рояли какой фирмы после советской национализации назывались ""Красный Октябрь""? ",Разное,"""Беккер""","""Бехштейн"""," ""Блютнер"""," ""Стейнвей""","""Беккер"""
Кто в юном возрастел был избран жрецом Юпитера и не имел права садится на коня?,История,Юлий Цезарь,Марк Антоний,Гней Помпей,Марк Аврелий,Юлий Цезарь
Уравнение Максвелла относится к...,Наука,Электромагнетизму,Классической механике,Статике,Квантовой механике,Электромагнетизму
"Как называлась античная мера длины, составляющая чуть меньше двух метров? ",История,оргия,вакханалия,сатурналия,бардак,оргия
Во что Онегин играл сам с собой в доме своего дяди?,Литература,бильярд,шахматы,домино,рулетка,бильярд
Какой буквой греческого алфавита обозначается отношение длины окружности к её диаметру?,Наука,Пи,Гамма,Бета,Альфа,Пи
Какая мышца в теле человека самая крупная?,Природа и животный мир,Ягодичная,Грудная,Икроножная,Дельтовидная,Ягодичная
Какого цвета были московские метели в песне Пахмутовой?,Искусство,Синего,Серого,Белого,Черного,Синего
"Переход к демократической форме правления в какой стране был назван ""бархатной революцией""? ",История,Чехословакия,Португалия,Испания,Польша,Чехословакия
На какой реке стоит Минск?,География,Свислочь,Сож,Буг,Западная Двина,Свислочь
"Какой древнегреческий философ любил повторять: ""Я знаю, что ничего не знаю""? ",История,Сократ,Демокрит,Эпикур,Аристотель,Сократ
На каком из этих спутников предполагают наличие жидких морей подо льдом?,Наука,Европа,Ио,Деймос,Харон,Европа
Какие водные артерии Петербурга соединяет Зимняя канавка?,География,Неву с Мойкой,Мойку с каналом Грибоедова,Обводный канал с Фонтанкой,Фонтанку с каналом Грибоедова,Неву с Мойкой
Как называется один из притоков Невы?,География,Пряжка,Стежка,Кружка,Ложка,Пряжка
В какой стране Элвис Пресли дал концерты в 1957 году?,Искусство,Канада,Мексика,Франция,Великобритания,Канада
Композитор Альфред Шнитке родился в городе…,Искусство,Энгельс,Карл-Маркс-Штадт,Ленинск,Сталинград,Энгельс
Какой художник рисует животных?,Искусство,анималист,баталист,маринист,пейзажист,анималист
Назовите год присуждения Михаилу Горбачеву Нобелевской премии мира.,История,1990,1991,1989,1988,1990
Какая форма государственного правления Сан-Марино?,История,Республика,Княжество,Герцогство,Архиепископство,Республика
За чью дочь выдавала себя княжна Тараканова?,Литература,Елизаветы Петровны,Анны Иоанновны,Екатерины I,Петра III,Елизаветы Петровны
"какой пьесе Шекспира Мендельсон написал мелодию, известную как свадебный марш? ",Литература,«Сон в летнюю ночь»,«Много шума из ничего»,«Укрощение строптивой»,«Комедия ошибок»,«Сон в летнюю ночь»
"Как в государственном праве называется официальное провозглашение (обнародование) закона, принятого парламентом? ",Разное,Промульгация,Пролификация,Пролексизация,Пролиферация,Промульгация
Где были изготовлены самые первые (из дошедших до нас) монеты?,История,Лидия,Рим,Шумер,Израиль,Лидия
Каким воинским подразделением в 1919 году командовал Чапаев?,История,Дивизией,Корпусом,Взводом,Полком,Дивизией
"Назовите имя героини драмы М. Ю. Лермонтова ""Маскарад"" ",Литература,Нина,Мария,Китти,Лиза,Нина
"Как называется пневматический ""молоток"" для взламывания асфальта? ",Разное,Отбойный,Забойный,Убойный,Бесшумный,Отбойный
"Что посетила Алиса, попав в Страну чудес? ",Литература,Безумное чаепитие,Глупый завтрак,Непродуманный обед,Безобразный ужин,Безумное чаепитие
Какой из городов является столицей Швейцарской конфедерации?,География,Берн,Базель,Цюрих,Женева,Берн
Какой химический элемент был впервые получен из морских водорослей?,Наука,Йод,Фосфор,Сера,Калий,Йод
Вождём какого племени был Монтесума?,История,Ацтеки,Майя,Инки,Ирокезы,Ацтеки
"В каком направлении НАСА запускает ракеты, чтобы получить преимущество от вращения Земли? ",Наука,Восток,Север,Юг,Запад,Восток
Какой город был центром русской колонизации Сибири?,История,Тобольск,Томск,Тюмень,Иркутск,Тобольск
В каком созвездии самая яркая звезда называется Вега?,Наука,Лира,Орёл,Гончие Псы,Большая Медведица,Лира
Какое отчество было у Пьера Безухова?,Литература,Кириллович,Александрович,Константинович,Владимирович,Кириллович
Чего так боится бленнофоб?,Разное,Слизи,Пыли,Голубого цвета,Длинных волос,Слизи
Кто победил на конкурсе ''Мисс Мира'' в 1994 году?,Искусство,Айшвария Рай,Талиана Варгас,Алёна Казимировская,Инна Зобова,Айшвария Рай
Модификацией какого химического элемента является графит?,Наука,Углерод,Свинец,Железо,Кремний,Углерод
К какому классу относится большинство известных видов животных?,Природа и животный мир,Насекомые,Млекопитающие,Рыбы,Птицы,Насекомые
Как в досоветской России называлась стоянка извозчиков?,Разное,Биржа,Рынок,Ставка,Торги,Биржа
Как называется южноамериканский аналог степи?,География,Пампасы,Саванна,Тундра,Прерия,Пампасы
"Как называют боковые побеги томата, вырастающие из пазух листьев? ",Природа и животный мир,Пасынки,Свояки,Золовки,Падчерицы,Пасынки
Сколько резцов во рту здорового человека?,Разное,8,6,2,4,8
На какой конференции союзники по антигитлеровской коалиции создали ООН?,История,Сан-Франциской,Тегеранской,Постдамской,Ялтинской,Сан-Франциской
Какая организация ведала в России XVIII века государственными расходами?,История,Штатс-коллегия,Юстиц-коллегия,Ревизион-коллегия,Камер-коллегия,Штатс-коллегия
В каком городе был открыт первый в СССР рок-клуб?,История,Ленинград,Москва,Вильнюс,Тбилиси,Ленинград
"Название какого животного с греческого переводится как ""водяная лошадь""? ",Природа и животный мир,Гиппопотам,Носорог,Утконос,Ламантин,Гиппопотам
Какая страна ежегодно дарит Великобритании к Рождеству роскошную ёлку?,Разное,Норвегия,Финляндия,Швеция,Дания,Норвегия
Как с исландского переводится имя певицы Бьорк?,Искусство,Берёза,Осина,Ольха,Ясень,Берёза
Назовите административный центр Амурской области.,География,Благовещенск,Хабаровск,Владивосток,Иркутск,Благовещенск
"Какую фамилию носила управдом в фильме ""Бриллиантовая рука"" в исполнении Нонны Мордюковой? ",Фильмы,Плющ,Хвощ,Мощь,Борщ,Плющ
Кем по специальности был Петр Ильич Чайковский?,Искусство,Юристом,Химиком,Художником,Врачом,Юристом
"Какого путешественника туземцы Новой Гвинеи прозвали ""человеком с луны""? ",География,Миклухо-Маклая,Джеймса Кука,Френсиса Дрейка,Тура Хейердала,Миклухо-Маклая
"Отзвук произведения какого автора использовал А.С.Пушкин в первой строке ""Евгения Онегина""? ",Литература,Крылов,Державин,Барков,Лафонтен,Крылов
Из скольки фунтов состоит американская тонна?,Разное,2000,1000,200,100,2000
"Укажите название свободного населения Древней Греции, обладавшего гражданскими правами ",История,Демос,Метеки,Демиурги,Периэки,Демос
Из чего сделан корпус кларнета?,Искусство,древесина,никель,олово,медь,древесина
Кто был первым талисманом чемпионата мира по футболу?,Спорт,Львёнок Вилли,Пастушок Гаучито,Пёс Стайкер,Петушок Футикс,Львёнок Вилли
Какая точка одинакова для шкал Цельсия и Фаренгейта (оба термометра покажут одно и то же)?,Наука,-40 градусов,0 градусов,+32 градуса,-18 градусов,-40 градусов
"Как говорят о человеке, у которого нижняя одежда торчит из-под верхней? ",Разное,из-под пятницы суббота,из-под зимы лето,из-под утра вечер,семь пятниц на неделе,из-под пятницы суббота
"Кто написал «Камаринскую», о которой П. И. Чайковский сказал, что в ней «заключена вся русская симфоническая музыка»? ",Искусство,М. И. Глинка,Н. А. Римский-Корсаков,М. П. Мусоргский,А. П. Бородин,М. И. Глинка
Король какой страны подарил Петру I Янтарную комнату?,История,Пруссии,Швеции,Франции,Дании,Пруссии
Какая достопримечательность находится на берегу реки Джамна?,География,Тадж Махал,Ангкорвоат,Топкапы,Запретный город,Тадж Махал
"Какая рыба, чтобы освободиться от крючка, часто ""делает свечу""? ",Природа и животный мир,Щука,Осетр,Налим,Карась,Щука
"Кто из лауреатов Нобелевской премии является одним из ""отцов"" лазера? ",Наука,А. М. Прохоров,П. Л. Капица,А. Д. Сахаров,Л. Д. Ландау,А. М. Прохоров
Монахи какого ордена ведали инквизицией наряду с доминиканцами?,История,Францисканцы,Бернардинцы,Паулины,Бенедиктинцы,Францисканцы
"Кто из этих великих целителей прошлого написал трактат ""О медицине""? ",История,Цельс,Гиппократ,Авиценна,Парацельс,Цельс
"Как назывался пражский трактир, в котором арестовали бравого солдата Швейка? ",Литература,"""У чаши""","""У площади"""," ""У кружки"""," ""У рюмашки""","""У чаши"""
Кто был первым чемпионом мира по шахматам?,Спорт,Стейниц,Ласкер,Алехин,Калабланка,Стейниц
Из чего сделаны пластинки ксилофона?,Искусство,Из дерева,Из пластмассы,Из меди,Из стали,Из дерева
Какой остров раньше назывался Формозой?,География,Тайвань,Таити,Гаити,Калимантан,Тайвань
Какой химический элемент имеет символ Rn?,Наука,Радон,Рутений,Рений,Рубидий,Радон
От слова какого языка произошло слово хоругвь?,Разное,Монгольский,Польский,Старославянский,Крымскотатарский,Монгольский
"Какие животные, согласно ""Илиаде"", содержались в стойлах царя Авгия, которые очистил Геракл? ",История,Быки,Овцы,Лошади,Единороги,Быки
Чьё имя до 1924 года носила пионерская организация Советского Союза?,История,Спартака,Ленина,Троцкого,Макаренко,Спартака
В каком городе обосновалось коллаборационистское правительство Петена в период оккупации Франции немецкими войсками?,История,Виши,Реймс,Шартр,Бурж,Виши
"Как называлась северо-восточная часть франкского государства Меровингов, в 6-7 вв. временами обособлявшаяся в отдельное королевство? ",История,Австразия,Дакия,Франкония,Остзея,Австразия
"Название какого головного убора само говорит, что его задача — создавать тень? ",Разное,сомбреро,канотье,панама,стетсон,сомбреро
Где были выкованы металлические звенья Невской ограды Летнего сада?,Разное,В Туле,В Екатеринбурге,В Санкт-Петербурге,В Москве,В Туле
"Кто создал Лестерский кодекс - тетрадь научных работ, которую Билл Гейтс приобрел за 30 миллионов долларов? ",Наука,Леонардо да Винчи,Лейф Эрикссон,Юлий Цезарь,Иоганн Гутенберг,Леонардо да Винчи
Чего боится охлофоб?,Разное,Толпы,Змей,Открытого пространства,Наказания,Толпы
"Как в Древнем Риме называли жрецов (или жриц), гадавших только по внутренностям жертвенных животных? ",История,Гаруспики,Авгуры,Весталки,Бестиарии,Гаруспики
Какой хан Золотой Орды ввел там ислам в качестве государственной религии?,История,Узбек,Азис,Тохтамыш,Чжанибек,Узбек
Что создал выходец из России Давид Сарнов?,Разное,NBC,MTV,CNN,BBC,NBC
Кто такие парсы?,Разное,Зороастрийцы,Каста в Индии,Исмаилиты,Ловцы жемчуга,Зороастрийцы
"Каким типом корабля был ""Кореец"", храбро сражавшийся вместе с ""Варягом"" против японской эскадры? ",История,Канонерская лодка,Миноносец,Торпедный катер,Десантный корабль,Канонерская лодка
В каком месяце 1941 г. японская авиация напала на Пёрл-Харбор?,История,Декабрь,Сентябрь,Октябрь,Ноябрь,Декабрь
"Как звали царя, трое сыновей которого тоже стали русскими царями? ",История,Алексей,Михаил,Фёдор,Пётр,Алексей
Какая участь постигла национальное достояние Южной Кореи — городские ворота XIV века Суннемун?,История,их сжёг злоумышленник,разрушены землетрясением,съедены жучком,разрушены землетрясением,их сжёг злоумышленник
Что в Якутии после Октябрьской революции 1917 года использовали вместо бумажных денег?,История,винные этикетки,берестяные грамоты,почтовые марки,театральные билеты,винные этикетки
В каком году Фернан Магеллан отправился в кругосветное плаванье?,История,1519,1542,1507,1531,1519
Последняя жена Генриха VIII,История,Екатерина Парр,Екатерина Ховард,Анна Клевская,Евгения Сеймор,Екатерина Парр
На какой радиостанции работает Николай Фоменко?,Искусство,Русское радио,Наше радио,Не наше радио,Европа плюс,Русское радио
Выше какого здания Николай I запретил строить дома в Санкт-Петербурге?,История,Зимний дворец,Исаакиевский собор,Смольный институт,Адмиралтейство,Зимний дворец
Из чего в Японии делают нэцкэ?,Разное,"Дерево, кость",Бобы,свинина,Рыба,"Дерево, кость"
